@relation 'systemsdevelopment-weka.filters.unsupervised.attribute.Remove-R1-8,16-22-weka.filters.unsupervised.attribute.Remove-R2-5,7'

@attribute x-mean-1000 numeric
@attribute z-var-1000 numeric
@attribute class {walking,sitting,standing}

@data
0.420448,0.076607,standing
0.362549,0.084614,standing
0.34929,0.080284,standing
0.373019,0.074407,standing
0.412434,0.07519,standing
0.354944,0.057229,standing
0.278648,0.048555,standing
0.305118,0.041832,standing
0.327259,0.046072,standing
0.326248,0.041658,standing
0.316525,0.033739,standing
0.32569,0.020352,standing
0.350801,0.022352,standing
0.343909,0.025172,standing
0.325235,0.025349,standing
0.367065,0.024768,standing
0.36931,0.018085,standing
0.338385,0.030098,standing
0.341527,0.037795,standing
0.328575,0.038446,standing
0.3198,0.039317,standing
0.299747,0.038597,standing
0.281092,0.046716,standing
0.242253,0.0526,standing
0.206724,0.051322,standing
0.178579,0.046811,standing
0.161137,0.041817,standing
0.238007,0.042003,standing
0.174481,0.046003,standing
0.18998,0.055862,standing
0.181947,0.053748,standing
0.193633,0.040563,standing
0.218025,0.041353,standing
0.223268,0.047142,standing
0.209331,0.048489,standing
0.222375,0.048423,standing
0.256916,0.049974,standing
0.17997,0.051156,standing
0.202451,0.040905,standing
0.203369,0.033235,standing
0.215948,0.034619,standing
0.216737,0.032527,standing
0.188582,0.026915,standing
0.247185,0.020541,standing
0.251672,0.018199,standing
0.360635,0.025211,standing
0.340898,0.031887,standing
0.346089,0.057215,standing
0.411692,0.07017,standing
0.435342,0.085137,standing
0.403298,0.101684,standing
0.399844,0.107766,standing
0.42786,0.109624,standing
0.390046,0.111772,standing
0.411412,0.112821,standing
0.300672,0.102582,standing
0.32352,0.09712,standing
0.374383,0.078647,standing
0.353888,0.06836,standing
0.324485,0.087633,standing
0.349509,0.075861,standing
0.361571,0.065797,standing
0.377171,0.066768,standing
0.381888,0.070945,standing
0.374427,0.055314,standing
0.362126,0.043378,standing
0.388254,0.032957,standing
0.361497,0.028475,standing
0.298496,0.031381,standing
0.286243,0.021109,standing
0.284749,0.040723,standing
0.320523,0.046043,standing
0.281238,0.072479,standing
0.252415,0.088669,standing
0.251068,0.099807,standing
0.25094,0.099964,standing
0.209711,0.102802,standing
0.223268,0.105374,standing
0.269306,0.103067,standing
0.26342,0.10305,standing
0.268482,0.069474,standing
0.229309,0.063309,standing
0.253481,0.042272,standing
0.301475,0.03473,standing
0.354175,0.028651,standing
0.344998,0.035346,standing
0.347836,0.034921,standing
0.327792,0.039608,standing
0.336765,0.044088,standing
0.386426,0.044212,standing
0.36485,0.077588,standing
0.284597,0.094426,standing
0.260025,0.097178,standing
0.244661,0.082948,standing
0.209377,0.074505,standing
0.214045,0.075242,standing
0.209642,0.076415,standing
0.215847,0.084273,standing
0.186762,0.078054,standing
0.149551,0.077421,standing
0.13863,0.062356,standing
0.231483,0.047746,standing
0.215148,0.043181,standing
0.231933,0.048053,standing
0.206286,0.045012,standing
0.228404,0.041732,standing
0.25238,0.055476,standing
0.304113,0.046426,standing
0.259828,0.045058,standing
0.260536,0.059485,standing
0.28097,0.062956,standing
0.269818,0.075838,standing
0.301971,0.07913,standing
0.302418,0.078723,standing
0.337055,0.084807,standing
0.316889,0.083163,standing
0.305737,0.06834,standing
0.272952,0.068048,standing
0.26973,0.06965,standing
0.289534,0.067382,standing
0.275812,0.053699,standing
0.329618,0.054513,standing
0.316496,0.060993,standing
0.274036,0.082972,standing
0.164699,0.104541,standing
0.286319,0.129197,standing
0.311232,0.177526,standing
0.289694,0.177181,standing
0.266443,0.181659,standing
0.347138,0.188612,standing
0.280726,0.191956,standing
0.193306,0.198857,standing
0.18409,0.189712,standing
0.253671,0.174416,standing
0.365877,0.185698,standing
0.248902,0.169832,standing
0.20594,0.133557,standing
0.222349,0.116579,standing
0.253962,0.109271,standing
0.137293,0.102511,standing
0.185047,0.097616,standing
0.240889,0.088293,standing
0.26798,0.085501,standing
0.2701,0.086145,standing
0.259515,0.05081,standing
0.258103,0.04725,standing
0.330652,0.064675,standing
0.31705,0.065998,standing
0.33408,0.069806,standing
0.38343,0.061161,standing
0.413859,0.066446,standing
0.404284,0.064188,standing
0.431108,0.061599,standing
0.404188,0.060454,standing
0.416151,0.056395,standing
0.444101,0.054055,standing
0.417883,0.035387,standing
0.427406,0.041993,standing
0.418692,0.039892,standing
0.36815,0.038304,standing
0.335427,0.03625,standing
0.33642,0.034383,standing
0.30724,0.032103,standing
0.287484,0.030063,standing
0.26446,0.030855,standing
0.22767,0.036665,standing
0.216407,0.045441,standing
0.235694,0.057091,standing
0.265947,0.045062,standing
0.325653,0.046441,standing
0.366891,0.039194,standing
0.401709,0.030304,standing
0.442332,0.024307,standing
0.459006,0.015926,standing
0.49447,0.00953,standing
0.527414,0.00814,standing
0.553417,0.007676,standing
0.563026,0.003025,standing
0.5562,0.002986,standing
0.554076,0.004499,standing
0.550336,0.00777,standing
0.540767,0.008708,standing
0.52378,0.010001,standing
0.511872,0.008453,standing
0.494745,0.007765,standing
0.464835,0.00803,standing
0.424053,0.011376,standing
0.398959,0.010895,standing
0.37503,0.010943,standing
0.367049,0.009995,standing
0.338013,0.010077,standing
0.328969,0.010264,standing
0.317274,0.010776,standing
0.311992,0.010757,standing
0.30594,0.010692,standing
0.304006,0.01017,standing
0.299615,0.007732,standing
0.292589,0.006917,standing
0.295289,0.004918,standing
0.29694,0.004984,standing
0.299761,0.004976,standing
0.298526,0.00423,standing
0.29645,0.003434,standing
0.295623,0.003532,standing
0.298853,0.003594,standing
0.298934,0.003734,standing
0.304178,0.003865,standing
0.314567,0.003523,standing
0.318254,0.003559,standing
0.321701,0.003832,standing
0.324491,0.003988,standing
0.335095,0.0041,standing
0.355393,0.006576,standing
0.368807,0.005984,standing
0.372296,0.006469,standing
0.380092,0.005974,standing
0.389464,0.004262,standing
0.400352,0.004716,standing
0.407821,0.004389,standing
0.409054,0.004291,standing
0.414985,0.004569,standing
0.41618,0.004725,standing
0.407457,0.003188,standing
0.400375,0.003991,standing
0.394381,0.003314,standing
0.390231,0.002792,standing
0.383912,0.003062,standing
0.374971,0.003764,standing
0.364807,0.005068,standing
0.362668,0.005149,standing
0.359577,0.005681,standing
0.358358,0.005322,standing
0.3532,0.005896,standing
0.34484,0.005725,standing
0.345227,0.005529,standing
0.335714,0.006461,standing
0.343999,0.006518,standing
0.339461,0.006191,standing
0.338181,0.005711,standing
0.341669,0.005957,standing
0.343233,0.005764,standing
0.342944,0.006026,standing
0.350055,0.005177,standing
0.355001,0.004966,standing
0.351405,0.004955,standing
0.352174,0.003862,standing
0.3429,0.003781,standing
0.346735,0.004037,standing
0.34523,0.003365,standing
0.334558,0.002705,standing
0.340023,0.002201,standing
0.335922,0.002346,standing
0.331643,0.001915,standing
0.332155,0.001693,standing
0.337727,0.002136,standing
0.336867,0.002048,standing
0.334069,0.002049,standing
0.331528,0.001895,standing
0.326224,0.001646,standing
0.32188,0.001713,standing
0.304006,0.002597,standing
0.297358,0.002413,standing
0.298247,0.00249,standing
0.298643,0.003346,standing
0.290087,0.003675,standing
0.28885,0.003868,standing
0.286998,0.003911,standing
0.284695,0.004263,standing
0.286449,0.004624,standing
0.291398,0.004605,standing
0.298247,0.003762,standing
0.304955,0.003518,standing
0.309435,0.00402,standing
0.304363,0.003581,standing
0.305892,0.003553,standing
0.309927,0.006737,standing
0.31132,0.014877,standing
0.307486,0.016465,standing
0.316797,0.015321,standing
0.331928,0.017157,standing
0.332763,0.021892,standing
0.327313,0.02514,standing
2.654899,10.822278,walking
3.071243,10.115,walking
3.077602,10.144425,walking
3.079906,10.184351,walking
3.387585,9.788847,walking
2.38248,5.824651,walking
